Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Total
1996,Male,Incidence,Laryngeal cancer,0,1,0,0,0,0,2,1,3,28,45,56,87,97,107,47,29,13,0,516
1997,Male,Incidence,Laryngeal cancer,0,0,0,0,0,2,1,3,11,27,47,71,73,88,96,64,23,13,0,519
1998,Male,Incidence,Laryngeal cancer,0,0,0,0,0,2,1,5,12,21,52,65,86,90,113,70,38,11,0,566
1999,Male,Incidence,Laryngeal cancer,0,0,0,0,0,1,2,2,6,25,51,60,83,88,77,64,24,7,0,490
2000,Male,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,1,12,15,43,61,70,80,78,86,31,17,0,494
2001,Male,Incidence,Laryngeal cancer,0,0,0,0,0,1,1,1,11,19,45,65,90,81,85,67,43,17,0,526
2002,Male,Incidence,Laryngeal cancer,0,0,0,0,0,1,2,1,15,14,48,71,85,69,82,49,24,15,0,476
2003,Male,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,2,9,26,50,68,95,71,75,55,35,19,0,505
2004,Male,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,5,6,25,39,67,85,86,75,63,55,27,0,533
2005,Male,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,3,12,21,41,73,87,89,69,66,46,21,0,529
2006,Male,Incidence,Laryngeal cancer,0,0,0,0,1,0,0,1,9,18,46,71,85,87,85,91,53,21,0,568
2007,Male,Incidence,Laryngeal cancer,0,0,0,0,1,1,0,1,5,17,42,64,86,83,77,66,53,28,0,524
2008,Male,Incidence,Laryngeal cancer,0,0,0,0,1,0,1,4,7,17,32,58,81,108,78,52,41,25,0,505
2009,Male,Incidence,Laryngeal cancer,0,0,0,0,0,0,3,3,7,16,34,64,82,87,96,66,50,22,0,530
2010,Male,Incidence,Laryngeal cancer,0,0,0,1,0,1,0,3,4,21,41,69,81,89,77,73,45,37,0,542
2011,Male,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1968,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1969,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1970,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1971,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1972,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1973,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1974,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1975,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1976,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1977,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1978,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1979,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1980,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1981,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1982,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,2,0,4,8,10,11,11,7,5,5,2,0,65
1983,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,1,0,4,5,9,16,10,10,6,3,1,0,65
1984,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,0,4,7,10,6,10,3,4,2,1,1,48
1985,Female,Incidence,Laryngeal cancer,0,0,0,0,1,0,0,2,1,5,2,13,10,7,4,4,1,3,0,53
1986,Female,Incidence,Laryngeal cancer,0,0,0,0,0,1,1,2,2,1,2,3,18,10,8,5,3,1,0,57
1987,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,2,0,2,6,14,12,15,9,7,2,4,0,73
1988,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,0,1,4,4,9,13,16,7,7,1,2,0,65
1989,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,2,0,1,5,11,10,13,13,6,7,1,0,70
1990,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,1,2,1,7,14,10,10,11,2,2,0,60
1991,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,8,6,15,16,18,4,3,1,0,72
1992,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,2,3,9,6,14,15,7,4,5,1,0,66
1993,Female,Incidence,Laryngeal cancer,0,0,0,1,0,0,0,2,0,0,2,10,9,6,15,2,4,2,0,53
1994,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,1,2,1,7,4,12,11,11,10,2,4,0,65
1995,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,1,4,5,8,3,12,11,13,7,4,6,0,74
1996,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,0,6,6,5,11,8,11,5,6,3,0,61
1997,Female,Incidence,Laryngeal cancer,0,0,0,0,0,1,0,1,0,3,4,10,10,12,13,6,5,3,0,68
1998,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,2,0,2,2,2,7,8,8,13,5,5,2,0,56
1999,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,2,5,8,7,15,10,14,11,1,3,0,76
2000,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,2,0,1,8,8,10,9,15,9,1,5,0,68
2001,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,2,2,2,7,8,5,9,13,6,2,0,56
2002,Female,Incidence,Laryngeal cancer,0,0,1,0,0,1,0,3,1,2,6,6,4,13,4,12,7,6,0,66
2003,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,3,2,5,2,6,8,14,15,2,4,0,61
2004,Female,Incidence,Laryngeal cancer,0,0,0,0,0,1,0,2,5,1,4,6,1,13,12,12,7,5,0,69
2005,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,1,1,3,8,10,8,12,7,7,4,0,61
2006,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,2,2,0,5,3,7,10,6,7,4,7,0,54
2007,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,0,3,3,4,5,11,9,8,11,4,0,58
2008,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,2,3,8,8,13,7,12,15,5,7,0,80
2009,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,0,0,4,4,8,8,16,6,5,6,6,0,63
2010,Female,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,1,2,3,4,11,12,9,17,10,10,4,0,84
2011,Female,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1968,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1969,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1970,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1971,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1972,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1973,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1974,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1975,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1976,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1977,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1978,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1979,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1980,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1981,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1982,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,2,1,6,16,32,56,116,105,86,67,42,16,8,0,553
1983,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,4,13,33,78,89,137,108,65,45,21,5,0,599
1984,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,2,1,11,30,69,103,99,98,64,37,20,13,1,549
1985,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,0,0,5,8,25,45,94,119,86,71,38,21,10,0,523
1986,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,1,3,4,10,24,57,98,141,101,60,35,24,7,0,566
1987,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,6,6,35,62,89,126,102,68,60,27,13,0,594
1988,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,2,5,10,27,59,93,120,124,71,37,21,11,0,581
1989,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,4,13,27,57,95,128,99,81,64,24,5,0,598
1990,Persons,Incidence,Laryngeal cancer,0,0,0,1,0,0,2,3,11,39,39,75,138,120,79,55,30,10,0,602
1991,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,0,2,3,13,25,44,64,123,134,81,54,26,9,0,579
1992,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,0,6,12,29,59,94,120,141,96,66,35,16,0,675
1993,Persons,Incidence,Laryngeal cancer,0,0,0,2,0,0,0,8,5,23,43,78,108,138,95,47,26,15,0,588
1994,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,2,6,10,20,41,76,120,92,92,56,25,16,0,556
1995,Persons,Incidence,Laryngeal cancer,0,0,1,0,0,0,0,6,6,30,56,65,86,111,128,53,36,19,0,597
1996,Persons,Incidence,Laryngeal cancer,0,1,0,0,0,0,2,1,3,34,51,61,98,105,118,52,35,16,0,577
1997,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,3,1,4,11,30,51,81,83,100,109,70,28,16,0,587
1998,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,2,3,5,14,23,54,72,94,98,126,75,43,13,0,622
1999,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,2,2,8,30,59,67,98,98,91,75,25,10,0,566
2000,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,3,12,16,51,69,80,89,93,95,32,22,0,562
2001,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,1,1,13,21,47,72,98,86,94,80,49,19,0,582
2002,Persons,Incidence,Laryngeal cancer,0,0,1,0,0,2,2,4,16,16,54,77,89,82,86,61,31,21,0,542
2003,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,0,2,12,28,55,70,101,79,89,70,37,23,0,566
2004,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,1,0,7,11,26,43,73,86,99,87,75,62,32,0,602
2005,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,1,3,13,22,44,81,97,97,81,73,53,25,0,590
2006,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,0,1,3,11,18,51,74,92,97,91,98,57,28,0,622
2007,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,1,0,1,5,20,45,68,91,94,86,74,64,32,0,582
2008,Persons,Incidence,Laryngeal cancer,0,0,0,0,1,0,1,4,9,20,40,66,94,115,90,67,46,32,0,585
2009,Persons,Incidence,Laryngeal cancer,0,0,0,0,0,0,3,3,7,20,38,72,90,103,102,71,56,28,0,593
2010,Persons,Incidence,Laryngeal cancer,0,0,0,1,0,1,1,3,6,25,45,80,92,99,93,83,55,40,0,624
2011,Persons,Incidence,Laryngeal cancer,,,,,,,,,,,,,,,,,,,,0
1968,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,3,9,13,15,23,16,20,16,6,4,0,126
1969,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,4,6,14,16,19,20,11,13,11,8,0,123
1970,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,3,3,10,15,27,20,18,17,10,3,0,128
1971,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,3,11,10,25,19,17,13,15,12,3,0,130
1972,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,8,10,16,13,26,20,16,10,5,0,126
1973,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,4,5,11,21,13,21,26,15,7,5,0,130
1974,Male,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,0,4,9,18,29,37,23,27,16,8,6,0,178
1975,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,8,27,22,32,29,19,18,9,4,0,172
1976,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,2,7,20,21,26,30,21,17,13,9,0,167
1977,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,11,17,23,26,29,30,21,6,4,0,169
1978,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,8,11,33,28,30,31,29,11,6,0,189
1979,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,4,7,21,24,17,30,35,12,6,7,0,164
1980,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,6,18,24,26,22,17,22,10,6,0,155
1981,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,10,12,47,32,36,30,16,11,7,0,206
1982,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,6,11,22,32,22,22,18,22,13,1,0,169
1983,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,1,7,14,36,36,35,25,16,8,4,0,184
1984,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,4,18,38,32,38,29,27,18,8,0,217
1985,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,2,5,20,21,48,31,31,20,7,10,0,197
1986,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,2,14,33,43,32,32,15,12,6,0,193
1987,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,7,14,32,44,51,34,19,12,4,0,221
1988,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,7,10,26,48,36,21,14,15,6,0,185
1989,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,4,8,17,30,46,40,25,20,14,7,0,212
1990,Male,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,1,2,3,13,36,42,55,35,17,15,9,0,229
1991,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,3,2,16,24,42,51,28,24,15,11,0,218
1992,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,3,17,24,50,58,39,22,13,9,0,240
1993,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,2,15,20,33,51,36,27,20,14,0,219
1994,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,6,8,20,32,43,38,26,18,12,0,203
1995,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,2,4,12,25,23,48,39,21,16,12,0,203
1996,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,2,6,16,24,24,35,43,34,20,13,0,218
1997,Male,Mortality,Laryngeal cancer,0,1,0,0,0,0,0,1,1,4,24,19,25,44,40,29,18,15,0,221
1998,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,2,0,2,10,9,13,32,25,35,30,19,8,0,185
1999,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,1,3,22,17,26,35,38,31,24,13,0,211
2000,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,3,8,16,18,29,30,40,30,19,10,0,203
2001,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,7,10,16,23,37,49,42,22,13,0,223
2002,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,0,3,8,17,28,31,48,29,22,16,0,203
2003,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,3,5,11,18,25,35,35,33,22,10,0,197
2004,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,4,9,10,30,32,28,34,26,14,0,191
2005,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,4,11,23,24,34,26,35,19,13,0,190
2006,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,4,8,14,23,24,34,33,34,11,0,185
2007,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,6,6,20,19,29,29,33,25,27,0,196
2008,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,0,1,11,14,25,37,27,32,26,22,0,196
2009,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,3,4,12,14,30,28,30,34,15,20,0,192
2010,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,0,2,14,13,23,29,40,35,35,27,0,219
2011,Male,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,2,8,7,23,26,22,27,23,33,0,173
1968,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,2,0,3,3,1,2,2,1,2,0,16
1969,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,0,0,2,3,1,2,3,3,1,3,0,19
1970,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,0,0,4,0,0,1,3,3,1,3,0,16
1971,Female,Mortality,Laryngeal cancer,0,1,0,0,0,0,0,0,0,0,2,3,1,6,0,1,0,2,0,16
1972,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,1,1,0,5,1,3,2,5,0,0,19
1973,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,0,1,7,3,1,3,2,3,0,0,21
1974,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,3,4,3,3,1,5,1,3,0,23
1975,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,5,4,1,0,21
1976,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,6,1,0,0,19
1977,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,1,3,0,15
1978,Female,Mortality,Laryngeal cancer,0,0,0,1,0,0,0,0,1,2,2,3,4,9,3,1,4,0,0,30
1979,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,0,0,7,5,4,2,3,1,6,3,0,32
1980,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,0,4,5,4,4,2,6,2,0,28
1981,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,0,5,3,4,4,2,1,3,0,23
1982,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,6,1,3,2,3,4,2,1,0,23
1983,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,2,0,1,0,19
1984,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,1,2,4,2,3,3,3,2,1,0,22
1985,Female,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,0,0,1,1,2,3,1,5,1,3,2,0,20
1986,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,2,2,5,2,3,7,8,1,5,0,35
1987,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,0,0,3,1,10,2,4,3,2,0,26
1988,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,2,3,3,8,3,5,2,0,0,26
1989,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,1,7,5,7,3,2,1,0,26
1990,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,1,2,9,4,5,1,0,0,22
1991,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,2,0,2,9,6,6,6,5,2,0,38
1992,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,1,1,6,3,7,3,2,0,0,24
1993,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,0,1,4,5,4,9,0,2,2,0,28
1994,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,0,1,2,0,5,6,9,7,5,0,36
1995,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,4,3,2,1,4,4,2,3,0,23
1996,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,1,1,0,1,4,5,8,5,4,0,30
1997,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,2,2,1,5,10,7,4,3,0,35
1998,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,3,1,0,13
1999,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,2,2,4,6,8,3,3,6,0,34
2000,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,0,2,2,5,7,6,3,5,4,0,36
2001,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,1,4,1,6,1,5,4,3,0,25
2002,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,3,3,3,7,6,4,6,2,4,0,38
2003,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,0,2,1,4,4,4,3,6,2,0,27
2004,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,7,3,4,0,27
2005,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,0,0,3,4,5,6,3,2,0,24
2006,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,5,2,2,0,18
2007,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,0,1,1,4,1,3,4,4,4,0,24
2008,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,3,1,0,9,5,9,2,4,0,33
2009,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,1,0,2,1,9,3,5,1,0,22
2010,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,2,1,4,5,5,6,6,6,0,35
2011,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,1,0,0,8,4,5,5,6,5,0,34
1968,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,3,11,13,18,26,17,22,18,7,6,0,142
1969,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,4,6,16,19,20,22,14,16,12,11,0,142
1970,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,2,3,3,14,15,27,21,21,20,11,6,0,144
1971,Persons,Mortality,Laryngeal cancer,0,1,0,0,0,0,1,1,3,11,12,28,20,23,13,16,12,5,0,146
1972,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,3,9,11,16,18,27,23,18,15,5,0,145
1973,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,5,5,12,28,16,22,29,17,10,5,0,151
1974,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,0,4,9,21,33,40,26,28,21,9,9,0,201
1975,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,9,27,23,33,33,23,23,13,5,0,193
1976,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,2,7,20,25,29,33,23,23,14,9,0,186
1977,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,11,17,25,29,31,33,22,7,7,0,184
1978,Persons,Mortality,Laryngeal cancer,0,0,0,1,0,0,0,0,3,10,13,36,32,39,34,30,15,6,0,219
1979,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,4,7,28,29,21,32,38,13,12,10,0,196
1980,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,7,18,28,31,26,21,24,16,8,0,183
1981,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,11,12,52,35,40,34,18,12,10,0,229
1982,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,6,12,28,33,25,24,21,26,15,2,0,192
1983,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,1,1,7,14,41,39,40,28,18,8,5,0,203
1984,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,6,5,20,42,34,41,32,30,20,9,0,239
1985,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,2,2,6,21,23,51,32,36,21,10,12,0,217
1986,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,4,16,38,45,35,39,23,13,11,0,228
1987,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,4,7,14,35,45,61,36,23,15,6,0,247
1988,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,7,12,29,51,44,24,19,17,6,0,211
1989,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,4,8,17,31,53,45,32,23,16,8,0,238
1990,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,1,0,1,2,3,13,37,44,64,39,22,16,9,0,251
1991,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,3,4,16,26,51,57,34,30,20,13,0,256
1992,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,4,18,25,56,61,46,25,15,9,0,264
1993,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,2,2,16,24,38,55,45,27,22,16,0,247
1994,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,6,9,22,32,48,44,35,25,17,0,239
1995,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,2,4,16,28,25,49,43,25,18,15,0,226
1996,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,3,7,17,24,25,39,48,42,25,17,0,248
1997,Persons,Mortality,Laryngeal cancer,0,1,0,0,0,0,0,1,1,5,26,21,26,49,50,36,22,18,0,256
1998,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,2,0,2,11,10,14,33,27,37,31,22,9,0,198
1999,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,1,3,24,19,30,41,46,34,27,19,0,245
2000,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,5,8,18,20,34,37,46,33,24,14,0,239
2001,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,7,11,20,24,43,50,47,26,16,0,248
2002,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,0,6,11,20,35,37,52,35,24,20,0,241
2003,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,5,13,19,29,39,39,36,28,12,0,224
2004,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,1,3,4,9,11,30,36,36,41,29,18,0,218
2005,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,1,5,11,23,27,38,31,41,22,15,0,214
2006,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,4,10,15,24,28,35,38,36,13,0,203
2007,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,4,6,7,21,23,30,32,37,29,31,0,220
2008,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,1,0,0,1,14,15,25,46,32,41,28,26,0,229
2009,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,2,3,4,13,14,32,29,39,37,20,21,0,214
